МОУ СОШ № 7 село  Стародубского,село Стародубское,Буденновский,2624024101,1022603226546
МКОУ СОШ № 4,село Казинка,Андроповский ,2603008606,1022603623965
МОУ СОШ № 1 села Покойного,село Покойное,Буденновский,2624024221,1022603229054
"Отдел опеки, попечительства и по делам несовершеннолетних администрации Минераловодского городского ",Минеральные Воды,Минераловодский ,2630046576,1152651028144
"МОУ ""СОШ № 15""",Благодарный,Благодарненский,2605009450,1022602423645
МБОУ СОШ № 11 имени Ю.В. Андропова,село Солуно-Дмитриевское,Андроповский ,2603008733,1022603623954
МБОУ ООШ № 1,Железноводск,Железноводск,2627013556,1022603428561
Отдел образования администрации Степновского муниципального района Ставропольского края,село Степное,Степновский,2620005267,1042600398543
МБОУ ЛИЦЕЙ № 15 г. Ставрополя,Ставрополь,Ставрополь,2635022353,1022601951932
Контрольно-счетная палата Буденновского муниципального района,Буденновск,Буденновский,2624801397,1132651006597
МОУ СОШ № 2 село  Красный Октябрь,село Красный Октябрь,Буденновский,2624024366,1022603227162
"МОУ ""СОШ № 15 х. Андреевский""",хутор Андреевский,Советский,2619007245,1022601008539
"МОУ ""СОШ №8 село  Горькая Балка""",село Горькая Балка,Советский,2619007189,1022601009683
"МОУ ""СОШ № 7 село  Отказного""",село Отказное,Советский,2619007291,1022601010288
"МОУ ""СОШ №2 г. Зеленокумска""",Зеленокумск,Советский,2619007132,1022601007660
"МОУ ""СОШ №1 г. Зеленокумска""",Зеленокумск,Советский,2619007125,1022601007659
"МОУ ""СОШ № 9 село  Нины""",село Нины,Советский,2619007196,1022601008209
"МКОУ ""ООШ №16 п. Селивановка""",поселок Селивановка,Советский,2619007319,1022601010080
"МОУ ""СОШ №4 село  Правокумского""",село Правокумское,Советский,2619007157,1022601009265
"МОУ ""СОШ №11 г. Зеленокумска""",Зеленокумск,Советский,2619007213,1022601007868
"МОУ ""СОШ №6 село  Солдато-Александровского Советского района""",село Солдато-Александровское,Советский,2619007171,1022601008275
МКОУ ООШ № 11 а. Башанта,аул Башанта,Арзгирский,2604002621,1032601792827
"МОУ ""СОШ №10 село  Солдато-Александровского""",село Солдато-Александровское,Советский,2619007206,1032600320466
МКУ СДК ст. Боргустанская,станица Боргустанская,Предгорный ,2618800444,1112651035012
"МКУ ""ПОХОА""",станица Боргустанская,Предгорный ,2618800451,1112651035023
"МОУ ""СОШ №5 х.Восточный""",хутор Восточный,Советский,2619007164,1022601010530
"МКОУ ""ООШ №18 х. Кононов""",хутор Кононов,Советский,2619007333,1022601009540
"МКОУ ""ООШ №17 п. Михайловка""",поселок Михайловка,Советский,2619007326,1022601008198
МКОУ СОШ №7,село Янкуль,Андроповский ,2603008620,1022603624570
"МКОУ ""ООШ №15""",село Подгорное,Андроповский ,2603008490,1022603624560
"МКУ ""Пригородный""",поселок Железноводский,Предгорный ,2618021134,1112650000033
МКОУ СОШ №8 село  Садового,село Садовое,Арзгирский,2604004788,1032601795940
МКОУ СОШ № 8,село Дмитриевское,Красногвардейский,2611006120,1022602822791
МКОУ СОШ № 6,поселок Медвеженский,Красногвардейский,2611006112,1022602822770
МКОУ СОШ № 5,село Привольное,Красногвардейский,2611006063,1022602823099
